,isHate,comment
0,0,Cars cars cars cars...
1,0,If they hide in the engine they would get killed.That is a stupid way they can smuggle into another country
2,0,Build that wall deport them all!
3,0,Jon Snow - The King in the north thank you for uploading this. I have one small complaint he is only talking about deporting illegal immigrants not immigrants in general. Your title might mislead the less informed.
4,0,Stopping illegal immigration should have been done 30-years ago before it turned my beloved Los Angeles turn into a filthy Mexican border town complete with Latino gangs millions of undocumented uneducated and poverty-stricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies (all of which become LEGAL U.S. citizens due to our insane laws) and forcing California teachers to have to teach them in their own native language and for no additional increase in their already low wages. Add to that the free health care and welfare that hundreds of thousands of them are enjoying at American taxpayers' expense and you have the blueprint for disaster. That is why I left California for good and voted for Trump for good. Every time I see Mexican graffiti all over the once pristine neighborhoods of Los Angeles I want to help build the wall myself. But I fear it's far too late for that. There are now 20 million illegals in America and soon it will become The United States of Mexico.<br /><br />Now I'm seeing the exact same thing happen all over Western Europe from England to France to Germany and I will unfortunately live to see the exact same thing happen to them... the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster.
5,0,Only people to come in must be able to contribute to society. Not a drain on us. Must be able to support themselves with a trade. We do not need people living off the rest of us.
6,1,it bothers me when people say 'deportimg illegal immigrants will take all the workforce off the farms' . completley false after he deports the wetbacks then he will get rid of foodstamps and then the niggers will go back to working on the farm like they used to do
7,0,Whats the big deal Mexico has immigration laws and policies. They deport people all the time nothing is said or done yet when the United States chooses to enforce it's immigration laws and policies people become shocked and outraged
8,0,During war discrimination is a 'military necessity'! When Korematsus case reached the Supreme Court in October 1944 the attorneys for the government pointed to the constitutional war powers of Congress and the president. The government argued that the military must take all steps necessary to wage war successfully. In the view of President Roosevelt the War Department and General DeWitt the internment of all Japanese Issei and Nisei was a military necessity. and assuming we were at war with ISIS then rounding up ISIS would not be racist On December 18 1944 the Supreme Court decided 63 to uphold the conviction of Korematsu. The majority ruled only on his refusal to leave a prohibited military area and did not consider the constitutionality of the relocation camps. Justice Hugo Black writing for the majority fully accepted the views of General DeWitt. Justice Black also said that Korematsu had not been forced from his home because of his race but because of the military urgency of the situation. http://www.crf-usa.org/america-responds-to-terrorism/wartime-and-the-bill-of-rights.html http://www.crf-usa.org/america-responds-to-terrorism/wartime-and-the-bill-of-rights.html
9,0,I've been trying to figure out which common American voter is more uniformed Republican or Democrat for years. Democrats do any of you have the slightest clue that Obama has deported more Mexicans than any other President in history?
10,0,take your issues shine it up turn it sideways and stick it straight up your money asses
11,0,He knows what he's doing.. He has a good heart he only wants the criminal illegal out not hard working families it appears that he will make sure they start the process to become citizens and not take united states as a joke.
12,0,trump likes imigrants he DOES NOT like criminals take advantage of the u.s 'safe citys' were they can just keep being criminals and not get in trouble
13,0,I'm all for more migrants from already developed countries so we get civilized people. We don't anymore wild 3rd world migrants who burn down towns and cause crime and are low skilled eternally impoverished people. We can certainly help 3rd world countries with donations and charity but we don't need to import their societies here.
14,0,Nice title! I think you left out the word 'illegal'.
15,0,Poor sound quality
16,0,Translation: We're gonna deport the bad ones first then the good ones......later.
17,0,Its politic. some of things he said he wont do it.
18,0,I hate him
19,0,i dont hate trump anymore why because he fooled me and many others. how? senators would spend an arm probably both legs to get votes. trump on the other hand used social media (Fb Ig tw etc) and few million dollars and won. Now hearing him now made sense for me. he said what he had to say to win. who wouldnt agree to deport the illegals that are doing bad. im just glad he said the ones that have contribute to america would get chance to be legal. heck yeah. thanks trump. i aint mad at cha... anymore.
20,1,No Trump! We want you to deport ALL Illegal Immigrants! When I say ALL I mean ALL! Period!
21,0,Good job sweden. More plz
22,0,Good video!
23,1,Greeks do not want Muslims. Greeks have been fighting Islam for centuries. Greece I believe won't allow mosques to be built.
24,0,THIS WON'T LAST FOR LONG.
25,0,There's hope for Europe yet.
26,1,send these fucktards to canada our government accepts anybody regardles of theopinion of the working man who worked here all his life!!
27,0,they only looking for oil reserve not imigrant
28,0,ABOUT TIME is it not?
29,0,Excellent video. Thanks Anthony Brian
30,1,ISLAM is a cancer get rid of it Muhammad is a cross dressing pedophile.
31,0,I'm one of the people that will truly give this man a chance but everyone here must be careful about this policy. You can send all illegals back to where ever but just remember that black people will not be going back to your farms/plantations looking after your kids clean your houses falling in line with Jim Crow laws allowing are fellows men to be beaten shining your shoes and working for little or nothing. Slavery will not be making a come back. Last time white supremacy was fucking everything up you got the MLK attitude from black people. You can best believe that if he starts fucking up you will get the Malcolm X attitude this time 'By Any Means Necessary.'
32,0,I live in sweden and have felt big effects in the society and specielly in the schools.alot of the migrants in mu school have Been trying to get sexual contact with kind WHO are 6 years younger Its fucked up
33,0,Thank god! I agree... Hillary and Obama wanted to bring more of these people... just bc their rich ass have protection ....they don't have to live amongst them.
34,0,they want to live as normal ppls in their own motherland. but you western peoples bom their country to the stoneage. where else they want to go?
35,0,This is horrible. Absolutely horrible.
36,0,Thanks for sharing Anthony. Well done.. Why doesn't our media talk more about this? Does anyone really trust our media? I don't LOL
37,1,Islam is not feminist nor is it a religion its a cult based on violence and terrorism apon others.
38,1,muslims are parasites and vermin they need to be exterminated
39,0,this is so good to hear an american say this alot of you lot dont get this situation ...a big fat thank you my friend
40,1,very good a beautiful ghift : swedish take back your Sweden she belongs to you dear friends. Refugees out from Europe
41,0,good for you SWEDEN about fucking time!!!
42,0,Poor old man! What did he do to deserve this? Whoever votes to take them in should lead by example and take them home.
43,0,where are the mafiosos? Im sure they would love to use the jungle apes as targets!
44,1,Looks like the nazi's before. This is an invasion and the autority's r collaborrating. I woold blow up the place with everyone in. If i'd been brought down like this I woold take anyone with me
45,0,This makes my blood boil
46,1,He should send a bill to the police department. For the cost of damages . you know they shit on floor. and left a big mess.
47,1,Get OUT of the EU. Italy vote to get the fuck out. The EU is destroying your country. Are there no private property laws for Italians who own property in Italy can the Italian Govt. just come in and take your private property and use it to house illegal immigrants??? This is all caused by Italy membership in the EU. Vote to LEAVE EU. You are living in an insane asylum. WAKE UP!!!
48,0,medical is free in italy
49,1,this was the most disgusting thing i have EVER seen! to come into a mans hotel like that and just take over is DISGUSTING! and to allow scum like those refugees to walk in Eww go home u scum
50,0,If this is real would take up arms against the Govt. Cheers from New Zealand.
51,1,proof that the government sucks these peoples dicks and give them anything they want I guarantee what's next they'll allow them to rape there daughters ...and after that the people of Italy will be force to switch to Islam or pay high consequences government will force this heed my words leave now !!!!!
52,0,He signed a contract with a backward government to house third world refugees. What did he think he was going to get? Disabled European war veterans?
53,0,If diversity is So Great why is it being FORCED DOWN THE THROAT OF THIS ITALIAN???
54,0,Not only the politicians are going into the wood chippers but also the police.
55,1,bastards. So you can't even own a property without the danger of government taking it..
56,1,if they forced me to let them I'd let them in and make a big pot of welcome soup... full of rat poison.... problem solved
57,0,Who's the slave now luigi
58,1,We need to bring back fascism and concentration camps so that we can properly deal with this rat infestation.
59,1,YOU HAS TO KILL ALL THESE GLOBALISTS AND POLITICIANS. RISE UP WITH MACHETE IN HANDS AND INVADE THE EU AND KILL THEM ALL.
60,0,This is how the Mafia began. The citizens got pushed too far and took matters into their own hands.
61,0,Pure example of a : goverment inside a goverment ! poor man!
62,0,Y'all need to chill. The word Alien isn't a racist term. It may offend you but it's not racist. He probably used the alien in his video because he didn't want to keep saying immigrant all the time. It's like writing one of those research papers in school you have to go use a thesaurus to find better words for your other words so you don't repeat yourself over and over. Would you rather him use the word outsider? Or incomer? On websites the term alien is the first synonym that pops up for immigrant because it's already widely used but is still a good term that you don't say in a conversation. Note: To all the people saying 'Trump will fix this' or 'Build a wall' That is not a good idea. We don't need to piss off any more countries.
63,0,im from venezuela and i want to be a canadian or american citezen be cose here in poor country our salary is 20 time lower then lower salary in canada for example is all about money. i dont care what u think about imagrant i dont care what u religion is i want just work and get a car a house. in my country i will spend 20 years to buy a car for example. and those people who say 'why u dont stay and made u country a rich country' nooooo idiot becasue your rich country made my country a poor country. my dream is go to canada or usa and work i donk know driven a taxi. why people is mad about imigrant? because you are ass lazy thas why bye. go immigrants .the world has no borders
64,0,Why do they even number these 1-16 when most are the same things i.e dash trunk etc
65,0,damn Daniel back at it again with the migration
66,0,hope Donald Trumo doesnt see this
67,0,bitch I'm proud to be Mexican IDC what anyone calls me
68,0,http://www.youtube.com/watch?v=nUzbZI_0p5g&amp;t=2m46s 2:46 why are you showing Rome Italy talking about Bali? that's Piazza di Spagna via Frattina is on the right.
69,0,dude like every title is the same. just like dont do titles when thats the case lol
70,0,Why does this video keeps reminding me of Donald Trump..?
71,0,Aliens..... thinks if aliens are real or not I thought aliens were fake o-o does that make us aliens? Since Americans are not allowed in some places?
72,0,These are all the same. How did they find them?
73,0,aliens really Mexicans are people too.
74,0,subscribe to have a good day! if you don't you'll have 10 years of bad luck
75,0,Aliens?!?!?
76,0,hdidng in a trunk WOWE!11 THATS CURRAYYYYZEYYYY!!!!!!!!!!!!
77,0,The men all go to the length to get the military uniforms and everything but all have the same last name. What the fuck?
78,0,I was hoping for some crazy shit not all the places in a car you can hide
79,0,LMBAllsO... Nice twist on the SAAAAame ole sht hella times
80,0,They deserve it
81,0,What has this country come to ? None of these people are accountable for their behaviour. How can you attack someone like that when his family are there . I genuinely believe karma will catch up with these savage beasts .
82,1,These sandniggers need to die!
83,1,Animals!!!!!!!!!!!!!!!!!
84,0,Where is this??
85,1,that stupid fat lady is in charge no wonder they got their country fucked.
86,1,Send the Savages back home!
87,0,This is why these people need to be deported. They can't attack people for not supporting their views.
88,1,he should have put some nigger brains on the pavement
89,1,He had a gun - why didn't he use it???
90,0,where's this
91,0,Maybe we should give them Sharia law. Impose it upon them ruthlessly. As they want to do to us.
92,0,Support hillary clinton if you want this happen to you
93,0,Teenage Afghan immigrant is arrested in Germany after the 19-year-old daughter of a senior EU official was raped and murdered while out jogging Maria Ladenburger was found in a river in Freiburg where she studied A single strand of hair was found and matched to the migrant suspect He was identified by a single strand of dyed-blond hair at the scene According to police he has confessed and will go to court next year It has stoked anger against Angela Merkel's open-door immigration policy Read more: http://www.dailymail.co.uk/news/article-3998478/Teenage-Afghan-immigrant-arrested-Germany-murder-medical-student.html#ixzz4RrtnxDPB http://www.dailymail.co.uk/news/article-3998478/Teenage-Afghan-immigrant-arrested-Germany-murder-medical-student.html#ixzz4RrtnxDPB Follow us: @MailOnline on Twitter | DailyMail on Facebook
94,1,The fat guy should have kept his rifle on him and as soon as one of those Muslim scum bag terrorist steps into his property Bang! Shoot that fucker in the head and say he was trespassing
95,0,The gun was a good idea I thought.
96,1,Fat white cunt
97,0,Does someone say 'nazi scum' at http://www.youtube.com/watch?v=WAeyOp_INUI&amp;t=1m09s 1:09 ??
98,1,They are not even Muslims you fucking liar
99,1,support from Bulgaria against muslim emigrants
100,0,Cars cars cars cars...
101,0,The 'Read Full Transcript Here' link does not send me to a site with the full transcript.
102,0,It wasn't the Chief Rabbi of israel it was a colonel-rabbit and not in official capacity. Also he didn't say it directly he just implied that it might not be forbidden by the Talmud. Not surprising since the source is 3000 years old. but Zizek misses all the nuance for shock effect.
103,0,Agree with what he's said. But what are the solutions to the problems he's pointed out? Migrants from different cultures won't place any legitimacy on progressive values if they are touted by Western liberals. The clear solution is to support a progressive version of Islam - a change from within their own communities - as opposed to the salafism that the West has indirectly advocated for in its support for dictatorships (in opposition to Arab nationalist democracy) in the Middle East (inb4 anyone pulls the 'blaming the West for everything' card we have to realise that blame goes in every direction and no direction - it lies as much (probably a bit more) in the policies of Arab royalty as it does in Western powerholders).
104,1,'Their way of life.' There should be no emphasis on this phrase what so ever. We abide to universal principles of human rights and law that is blind to the origins wealth race etc. and is designed to follow universal principles of right and wrong. These are not some 'western culture' specialties these are mankind achievements following the path of logic and instilling justice wherever they are applied. Common justice not some special 'western' justice. I object against the term 'western culture.' It is common culture that western countries managed to apply best! The second we make any compromise is the second we succumb to savages following primitive tribal law mixed with religion. They want to live in our society they must abide to its principles fully! The division is there not because we dont 'respect' their inferior culture (there should be no respect at all from our side we are not emigrating to their lands only mindless socialists can think that every savage from desert tent is culturally our equal) but because they dont respect our culture. The culture of the land they emigrated to! Any country following their notion of justice that is not floating on oil is a shithole!
105,0,this guy has a serious problem to express himself in a clear and straightforward way... he speaks a lot but most of the time without a meaning or objective to conclude his thoughts. and it is not a problem of his accent or just a intrinsic characteristic of philosophy...
106,0,I'm no expert on this topic but I've tried to learn some and I just have one question which is in Europe haven't all crimes been going up? like rape theft and beatings? and violence towards gays. The middle east has a very different set of 'do's and don't's' and they should have to abandon their old ways if they're to live in a place that doesn't have the same.
107,0,Good thinking Slavoj thanks for yet another explanation
108,0,http://www.youtube.com/watch?v=s5PigZzSAJo&amp;t=9m39s 9:39 - 'Only the poor countries are invaded by them [refugees].' I wonder if this was just a slip of the tongue...
109,0,PURE IDEOLOGY
110,0,
111,0,Well yes we're living in an age of transgression. Things that were unacceptable are tolerated these days. I believe it was Plato who said the majority of people aren't 'philosophical' and so are operating off 'base' appetites. With the internet these 'appetites' are more easily sated and so begins the downward spiral IE: You get access to more food so you eat until you're full. You need more food the next time to get full. Same goes with sexual fantasies (traditional gets boring might go into kinks (bondage furry DDLG diapers etc) and other 'materialistic' self-pleasuring things. It's not like this wasn't predicted. The only question remains is that how to we fix these decays of values so that it doesn't further transgress societies?
112,1,The West is going to be fucked up taking refugees from middle east. They fucked their countries and are going to fuck your countries.
113,0,To be fair Saudi Arabia has taken refugees though they have been very selective. and The IDF rabbi who said that (rape was non-criminal during war) did clarify that he meant it was something had historically taken place not something that was acceptable.
114,0,The second anyone tries to use guilt to agree to something you're uncomfortable with for example letting a million refugees into your country then you should understand you're being emotionally manipulated. This communist speaks in favor of refugees for all white eastern European countries except his own.
115,0,But you still ignored question why are they comming?. And another one why are they mostly male in military age?. Or maybe you did answer by saying muslim fundamentalism? Anyways great talk as always. Thank you guys.
116,0,Why does he always have a cold?
117,0,Yeah - - but wait - - this 'conspiracy theory' is concrete - I wouldn't even say it needs conspiracy or theory - it seems like a reasonable and accurate description of what is actually going on (with the one caveat that Soros is the money-man - it could be others like him or just him or him plus some other people) How is Soros funding BLM humanitarian? I see it as a way to use black Americans as tools to corrupt/undermine American democracy. A nearly perfect mirror of what is happening in Europe. You cannot tell me that if you know the definition of hijrah - that this immigration cannot be weaponized - and not violently even- through attrition and political/economic war - First Muslim mayor of London - completely bankrupt nations within the EU etc. No - the terrorists and the Jew do not even have to be in direct communication much less collusion - the Jew can use the Muslim as a useful idiot (in the same way the Muslims themselves use each other as useful idiots with the suicide bomber) The second blackmail is the 'condition of potentiality' for the first. If their were no bleeding heart liberals there would be no right wing response to Muslim immigration because it was the liberals that allowed the Muslims to come (with Merkel actively inviting them with almost no oversight or strings attached) Furthermore the liberals tend to be better educated and more wealthy than the conservatives - which to me means the liberals have had more time/exposure to the ideology of the Frankfurt school and the resulting philosophical position of Cultural Marxism which is all created by mostly Jews with the explicitly stated goal of trying again in a different way what had failed in USSR - namely the leveling of all people based on economic differences 'all people are economically speaking exactly equal' This failed - so the Frankfurt School thinkers (Jews) went to California and came up with the idea of Cultural Marxism in which all cultures are to be perceived as equal - meaning that some Brazilian rain forest tribes culture is equal to that of Japanese culture - and the final point - because the idea of 'race' is a creation of culture - and since all cultures are the same - Presto! all races are equal! But these are all lies of course because races create cultures cultures do not create races - and obviously some cultures are superior to other and by implication some races are better than others (this concept is Social Darwinism and it was the majority belief in the Second Reich leading into WW1 at the time that revolutions in Russian were establishing the (what would become) failed system of mankind being economically made equal. Hundreds of thousands? Ha! try several million! What about Somalis and Sudanese and Eritreans then - when was the last Western intervention there? Yeah but the thing is - all these big countries fucking the local farmer in the Middle East are also fucking the small farmer in their own countries. Yes but wasn't this situation in Congo almost exactly the same situation which the Portuguese slave-traders found in Africa so long ago? Did not local African warlords pick the Portuguese side and capture other tribes as slaves to sell to the Portuguese - has the situation changed that much? The potential of this situation would have existed if the Portuguese had never sailed to Africa. There are 30 million slaves in Africa RIGHT NOW and Saudi Arabia is one of the earliest and currently practicing slave-trading nations in the world. Yet Saudi Arabia takes no refugees from either Africa or Middle East - - how convenient - - that must mean that Europe is taking in Saudi-Arabias share of the refugees - - oh yes too Israel is no haven for African or Middle Eastern refugees - if the Israeli plot to send Muslims on to Europe then turning them down in Israel makes perfect sense - nothing to see here keep moving north. A huge chunk of Middle East refugees is being held in Turkey (3 million) - and the EU writes checks to Turkey in high amount and often in order to keep them there. And also I won't get into it now - do you know how many UN laws are by the time a Somali immigrant sets foot on Swedish soil? Yes there is Arab fault too! Think of it this way - - it would be as if on D-day whatever the amount of English/US soldiers who took the beaches - twice that many German refugees crossed into England - <del>and that number would increase more and more as the Allied forces enjoyed more and more success on the battlefield - - except even worse - - they are Muslims - - so much more difficult to assimilate. Also he is misusing the word Arab - - -not only are there Arabs there are also Turks and Persians (Iranians) and among these the major groups there are dozens and dozens of sub-groups both infighting and fighting each other. They are the only countries in the region who can afford to keep them out - it is precisely because they are wealthy that they have not taken refugees Why does he not mention the fact that Sweden is now the 'rape capitol of the world' He leaves out the most violent situations - - I think ultimately to shield the refugees from the damage they are doing to European culture - - I think that it must be obvious that the Muslims are having a much more deleterious effect on European culture than European culture is having on Muslim culture. Talking about the veil shit when there was a report from Germany about the father of a twelve year old German girl that was in a hotel room with 5 or so Muslim men who were in the act of raping her (again) as the German police arrested him in the lobby of the hotel. I don't remember what happened to the 5 Muslim guys - - but I do know they were not publicly hanged. The girl is now sterile. I do not rally care about an 'open public debate' about this rape case (among numerous others) it is by default something not to be discussed - Zizek even says the same thing about Holocaust deniers - - if you even allow them a place at the discussion table you have already lost</del> - such/people things disqualify themselves automatically from being conversible 10 or 20 years? How about the next election? There are so many things these Muslims have done that fit the bill of no discussion necessary - his idea of talking about it publicy (painfully) is already too late - - the open public debate should have been the one between the European politicians and the European public as to whether this level of immigration was condoned by the majority in any given nation which has been so horribly impacted by the immigration policy about which they were not able to participate in an open public discussion. After that debate never happened any subsequent ones are only farces of democratic decision. The liberals created a problem that only they can solve (or at least that is what they will say next election time) If WW1 was Imperialism turned back at Europe and WW2 was a vengeful addressing of grievances created by the West treating defeated Germany as a pseudo-imperialist territory then isn't also true that women's rights gay rights etc (identity politics) will one day in the West start deteriorating also as it becomes apparent that the West is engaged in a neo-colonial enterprise with its own citizens? Isn't neo-colonialism the economic exploitation of all potential 'workers' globally - and isn't a nation's own people to be lumped into the global - does the government of a people in late Capitalism not also neo-colonize them as well - at least eventually? Destroying local ways of life? Isn't that the fundamental reason Trump won? By recognizing the destruction of local ways of life in America due to globalism-late Capitalism- neo-colonialism?
118,0,You can't have a secular liberal society if you let in a bunch of religious authoritarians. Either the new comers will destroy everything or your society will lose its identity fighting them.
